friends_count,followers_count,cluster number
265,244,0
415,552,0
383,504,0
633,523,0
1457,790,0
5,4958,0
2003,1527,0
352,470,0
67,6,0
198,287,0
128,78,0
2615,2336,0
21,54,0
34,5,0
506,769,0
300,501,0
946,1092,0
34,56,0
985,1166,0
100,42,0
699,954,0
382,275,0
724,465,0
1928,907,0
617,416,0
120,32,0
1043,3233,0
920,1441,0
62,167,0
3051,3119,0
232,186,0
1146,1531,0
665,618,0
2,0,0
1037,1369,0
306,386,0
2,0,0
1990,259,0
343,530,0
0,4,0
224,279,0
19,7794,0
135,130,0
609,1265,0
854,858,0
1423,269,0
0,4,0
9405,12117,0
27,270,0
38,4,0
278,445,0
609,627,0
140,105,0
221,177,0
151,176,0
1955,1617,0
198,64,0
289,194,0
2,0,0
1711,1192,0
324,326,0
298,2111,0
74,109,0
546,254,0
163,163,0
0,20,0
596,576,0
129,151,0
31,197,0
566,800,0
203,150,0
585,624,0
195,334,0
1290,1527,0
40,60,0
13440,129641,4
2896,1468,0
420,471,0
28131,65375,0
1262,2875,0
152,37,0
756,1188,0
1519,1580,0
84,81,0
1998,1477,0
1570,1071,0
75,290,0
175,147,0
438,296,0
4,4,0
213,281,0
339,49,0
287,1546,0
651,1429,0
1498,1639,0
97,95,0
54,56,0
939,1321,0
141,32,0
1881,1127,0
121,139,0
277,389,0
644,644,0
1121,2348,0
1741,1336,0
597,721,0
182,139,0
2093,2377,0
244,259,0
233,310,0
0,4,0
251,243,0
624,684,0
655,682,0
8,1,0
5,45,0
711,1058,0
417,908,0
352,234,0
62,35,0
513,547,0
1444,1531,0
136,171,0
54,331,0
55,67,0
242,306,0
92,856,0
1131,898,0
57,41,0
96,121,0
76,178,0
56,17,0
2015,1627,0
1112,1374,0
1493,2347,0
366,1140,0
34249,35656,0
1248,1836,0
946,325,0
110,94,0
2906,3428,0
937,95765,4
300,188,0
789,4602,0
290,324,0
395,525,0
108,102,0
763,210,0
763,521,0
389,397,0
262,416,0
90,12,0
689,2041,0
31,123,0
307,221,0
81,124,0
151,186,0
297,262,0
505,4589,0
15,15,0
9,6,0
201,331,0
156,190,0
139,9,0
102,84,0
971,959,0
55,30,0
141,57,0
386,403,0
178,53,0
4,797,0
348,276,0
456,579,0
115,11,0
1509,1914,0
396,13305,0
1378,950,0
4,4,0
115,346,0
1238,1738,0
0,0,0
102,47,0
103,40,0
501,6525,0
151,100,0
660,868,0
113,1364,0
446,433,0
882,2842,0
894,1339,0
128,135,0
123,13,0
74,128,0
464,691,0
9,2,0
194,388,0
97,114,0
484,339,0
78,99,0
93,101,0
120,190,0
364,488,0
859,14682,0
314,138,0
361,724,0
562,411,0
443,391,0
324,87,0
134,56,0
409,347,0
421,26284,0
206,350,0
354,293,0
766,381,0
594,525,0
404,70,0
38,13,0
97,213,0
412,355,0
658,2156,0
56,11,0
884,1870,0
129,127,0
313,151,0
192,452,0
478,578,0
41,3,0
890,1113,0
121,125,0
1608,3318,0
931,418,0
180,142,0
172,222,0
999,1570,0
813,820,0
818,233,0
283,188,0
17,6,0
111,105,0
149,100,0
318,458,0
30,255,0
0,14,0
93,66,0
836,157,0
103,66,0
214,227,0
0,174075,4
362,435,0
85,147,0
329,385,0
420,2315,0
108,54,0
531,613,0
8720,9282,0
82,505,0
932,791,0
971,828,0
45,5,0
1111,49187,0
85,268,0
8,4,0
2,638,0
282,920,0
838,1357,0
222,423,0
1106,1270,0
144,229,0
70,562,0
102,110,0
185,90,0
82,505,0
463,85,0
262,465,0
121,384,0
6,5,0
1233,750,0
5,5,0
450,229,0
564,73,0
9,2,0
89,92,0
586,334,0
1930,356,0
2250,2236,0
92,51,0
1175,2078,0
0,0,0
292,615,0
122,22,0
0,160,0
867,2524,0
331,87,0
246,154,0
141,262,0
567,607,0
0,8,0
2536,3040,0
19,8,0
85,21,0
